class,precision,recall,f1-score,support
harassment,0.7716535433070866,0.3888888888888889,0.5171503957783641,252.0
hate_speech,0.6787925696594427,0.6023351648351648,0.6382823871906841,1456.0
insult,0.5808383233532934,0.2861356932153392,0.383399209486166,678.0
normal,0.8239339752407153,0.9469523976813631,0.8811703170970906,5693.0
sexually_explicit,0.15384615384615385,0.1111111111111111,0.12903225806451613,18.0
threat,0.6666666666666666,0.009302325581395349,0.01834862385321101,215.0
accuracy,0.789701636188643,0.789701636188643,0.789701636188643,0.789701636188643
macro avg,0.6126218720122264,0.3907875968855438,0.42789719857833863,8312.0
weighted avg,0.7715767255436746,0.789701636188643,0.7630384828590884,8312.0
