class,precision,recall,f1-score,support
harassment,0.7298850574712644,0.503968253968254,0.596244131455399,252.0
hate_speech,0.6720351390922401,0.6304945054945055,0.6506024096385542,1456.0
insult,0.5021929824561403,0.33775811209439527,0.4038800705467372,678.0
normal,0.8412140575079872,0.9249956086421922,0.8811177110348867,5693.0
sexually_explicit,0.75,0.16666666666666666,0.2727272727272727,18.0
threat,0.25,0.06046511627906977,0.09737827715355805,215.0
accuracy,0.7887391722810395,0.7887391722810395,0.7887391722810395,0.7887391722810395
macro avg,0.6242212060879387,0.43739137719084725,0.48365831209273463,8312.0
weighted avg,0.7650604750360075,0.7887391722810395,0.7715844401840591,8312.0
