class,precision,recall,f1-score,support
harassment,0.7569060773480663,0.5436507936507936,0.6327944572748267,252.0
hate_speech,0.7389202256244963,0.6298076923076923,0.6800148312940304,1456.0
insult,0.6577181208053692,0.2890855457227139,0.4016393442622951,678.0
normal,0.8322688564476886,0.9613560512910592,0.8921672507946858,5693.0
sexually_explicit,0.8,0.2222222222222222,0.34782608695652173,18.0
threat,0.7272727272727273,0.037209302325581395,0.07079646017699115,215.0
accuracy,0.810274302213667,0.810274302213667,0.810274302213667,0.810274302213667
macro avg,0.7521810012497246,0.4472219345866771,0.5042064051265585,8312.0
weighted avg,0.7966086744498733,0.810274302213667,0.7847049495048866,8312.0
