feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
babi,0.00036799943760106404,0.00913265538185993,0.013256757541447013,0.017442963930056784,0.0012926983779378322,0.005871147933586565,0.04736422260248918
hamas,0.006412168296738197,0.0061228255994322115,0.011108167465545844,0.01995213435210138,0.002504404258503812,0.0011866227511115174,0.04728632272343296
si,0.010716954244568257,0.005914462136322517,0.002163990187386452,0.012769354230888826,0.008405036207578908,0.006706964244963773,0.046676761251708734
wanita,0.01178158968089825,0.005913795960144012,0.00024327940595661712,0.011505850580857617,0.004949665133273366,0.010895920787500925,0.04529010154863079
ungsi,0.014116130211669608,0.0021849126801364257,0.008111116948389443,0.011951836450848399,0.0023368124074548426,0.00579492346024934,0.04449573215874806
gubernur,0.0017161056326382368,0.007755810046605896,0.018868254567430194,0.01307784164403248,0.0016120289273319952,0.001362737436762425,0.04439277825480123
bacot,0.0008210602511670346,0.009035725058293318,0.0028415012651254253,0.018649479353610852,0.0013748444834744372,0.008968157764833035,0.0416907681765041
pki,0.006111949522030032,0.015257783984882515,0.005902441280641365,0.005418059827167954,0.0010493165200705819,0.007612136489308672,0.041351687624101116
katolik,0.007490565222107359,0.011562875878678488,0.001318079313389049,0.016215828067166135,0.000982175111589208,0.0025017088318203865,0.04007123242475062
sok,0.0056858297209520505,0.00491913510065354,0.01006993068356531,0.008230636955531256,0.0016571405612178616,0.00935274337870808,0.039915416400628095
ahok,0.0007054171716215281,0.01874173229063098,0.0051847739720422194,0.008995342792904142,0.0012820334839867295,0.003984999213320183,0.038894298924505785
bom,0.004203637810953254,0.0017415339154126376,0.013296312532496486,0.00818858420099616,0.003980072168540807,0.006625696604500078,0.03803583723289942
bodoh,0.004104299194887682,0.010148856836823598,0.0033294000863965004,0.01585565600152225,0.002979916704804285,0.0012530165882190605,0.03767114541265337
lengser,0.0018446600068113938,0.018821884867323446,0.0037539039960631853,0.011891433696075262,0.00028451511942542994,0.001047372048947874,0.03764376973464659
titit,0.006233393169089619,0.0064011747474266,0.01080584633071858,0.01119738137358714,0.001750984284197724,0.0011916676629922152,0.037580447568011884
xe,0.013976967467798512,0.0015772477361001226,0.011781884783561979,0.0068677668556021065,0.002036005313196998,0.0010594311220684318,0.037299303278328144
xf,0.012901792934144047,0.003930404650414235,0.0016910691890772139,0.008502827883406179,0.006209286135786868,0.004049656546385808,0.03728503733921436
budek,0.003233055421830781,0.010500452772179767,0.0027663959367646824,0.0036583480520811294,0.0006987246788143168,0.015324184988140846,0.03618116184981152
jongos,0.005379336059903219,0.010333077614587306,0.0022107493470060863,0.015412702545363763,0.00021038543264452613,0.002300075043488409,0.0358463260429933
rezim,0.006522968439269062,0.013198162565899953,0.00605474308038122,0.004450668698724446,0.0014140332566132752,0.003657086488361096,0.035297662529249055
f,0.00484595977624058,0.008600448106521583,0.003368301223957971,0.006164527539295026,0.007817193802449792,0.003903614682940412,0.034700045131405365
allah,0.0012870365610905207,0.0011138102115838635,0.011617643730317049,0.0003558355275098583,0.0056742785890996255,0.014535240019232653,0.03458384463883357
prabowo,0.004892470899975612,0.014819568419911977,0.002447247002211033,0.00596579192904879,0.004010405985938307,0.0023981466071599815,0.0345336308442457
open,0.0011006170388406053,0.01026851640677292,0.005056276799269259,0.0024664526780069133,0.010742578398952787,0.003216379167923544,0.03285082048976602
negara,0.011965917688031074,0.0033121709550293183,0.005545699338770183,0.0014992686886287068,0.004280061538072727,0.005888840243675418,0.032491958452207426
serang,0.010706896340580455,0.0013138797703741434,0.01061621454628751,0.0035183268046629973,0.0006469527147486151,0.005388477495492947,0.03219074767214667
gibran,0.007912339362878945,0.00577429273057664,0.007135555643454012,0.008746930931741982,0.0017307484217792457,0.0004651060599611877,0.03176497315039201
dungu,0.0036174877584256434,0.011580924642919967,0.0009355133395304927,0.010465318692177749,0.0006323381083318119,0.004069733255545756,0.03130131579693142
puas,0.0009317077797695026,0.0033427017199217208,0.0034435386739806234,0.00680224286872386,0.011221993128954133,0.005452294994058649,0.031194479165408486
pake,0.006412950460829535,0.0063641314901803905,0.00037032417646947987,0.0006547222673978777,0.0022833154321888257,0.014775999292270239,0.03086144311933635
