metric,value
word_count_mean,34.47
word_count_median,18.0
word_count_mode,10.0
word_count_std,58.45
word_count_min,1.0
word_count_max,880.0
char_count_mean,240.53
char_count_median,121.0
char_count_mode,254.0
char_count_std,426.48
char_count_min,2.0
char_count_max,4998.0
