Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
linear_svm_baseline,0.795592115474158,0.6716524555025566,0.667009765700179,0.6687768111793216,
linear_svm_type_tuned,0.795592115474158,0.6716524555025566,0.667009765700179,0.6687768111793216,
logistic_regression_type_tuned,0.7743287288530187,0.6476472273625816,0.6837720302550638,0.6638550906254732,0.908512642996055
logistic_regression_baseline,0.7467018469656992,0.6267489459141071,0.7227413858783768,0.6603608048217375,0.9157869283258562
xgboost_type_tuned,0.8117336644420301,0.7570918684088815,0.5814451096963655,0.626315540364997,0.9157010913271024
xgboost_baseline,0.807698277200062,0.7504722663261519,0.5687188784204158,0.6135131077530354,0.9108610796153778
