model,total_samples,correct_predictions,errors,correct_percentage,error_percentage
naive_bayes,8312,6564,1748,78.97016361886429,21.02983638113571
logistic_regression,8312,6556,1756,78.87391722810395,21.126082771896055
svm,8312,6735,1577,81.0274302213667,18.972569778633304
