class,naive_bayes_fn_rate,logistic_regression_fn_rate,svm_fn_rate,avg_recall_error_rate
threat,0.9906976744186047,0.9395348837209302,0.9627906976744186,0.9643410852713178
sexually_explicit,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.8333333333333334
insult,0.7138643067846607,0.6622418879056047,0.7109144542772862,0.6956735496558505
harassment,0.6111111111111112,0.49603174603174605,0.45634920634920634,0.5211640211640212
hate_speech,0.39766483516483514,0.3695054945054945,0.3701923076923077,0.3791208791208791
normal,0.05304760231863692,0.07500439135780783,0.038643948708940806,0.05556531412846186
