metric,value
total_rows,41556
processed_rows,41556
empty_after_preprocessing,32
avg_word_count_before,34.47
avg_word_count_after,21.47
min_word_count_before,1
max_word_count_before,880
min_word_count_after,0
max_word_count_after,687
processing_time_seconds,3956.15
rows_per_second,10.5
active_steps,"Case Folding, URL Removal, HTML Removal, Mention Removal, Hashtag Removal, Emoji Removal, Punctuation Removal, Number Removal, Stopword Removal, Stemming"
