Model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_macro
Support Vector Machine,0.810274302213667,0.7521810012497246,0.4472219345866771,0.5042064051265585,0.7966086744498733,0.810274302213667,0.7847049495048866,0.8135107413039392
Logistic Regression,0.7887391722810395,0.6242212060879387,0.43739137719084725,0.48365831209273463,0.7650604750360075,0.7887391722810395,0.7715844401840591,0.8402303835230936
Naive Bayes,0.789701636188643,0.6126218720122264,0.3907875968855438,0.42789719857833863,0.7715767255436746,0.789701636188643,0.7630384828590884,0.8243873897185925
