,harassment,hate_speech,insult,normal,sexually_explicit,threat
harassment,127,28,19,77,0,1
hate_speech,11,918,76,442,0,9
insult,18,121,229,305,0,5
normal,17,271,114,5266,1,24
sexually_explicit,0,0,2,13,3,0
threat,1,28,16,157,0,13
