,harassment,hate_speech,insult,normal,sexually_explicit,threat
harassment,98,33,22,99,0,0
hate_speech,9,877,53,517,0,0
insult,13,122,194,349,0,0
normal,7,230,53,5391,11,1
sexually_explicit,0,0,3,13,2,0
threat,0,30,9,174,0,2
